ID,Objekt,Etage,Verortung,Parkplatz,Parkplatz,Position,Farbe,Symbole,Typografie,Inhalt,Elektrisch,Beschädigt,Foto,Notizen
91,Beleuchtung,4,Gegenüber von,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/8c12b9ee03-1707500701/2024-02-09-18.44.48.png,""
92,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
93,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
94,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
95,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
96,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
97,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
98,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
99,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
100,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
101,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
102,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
103,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
104,Beleuchtung,4,Vor,,,ceiling,,false,false,"",true,false,,""
105,Bewegungsmelder,4,Gegenüber von,,,wall,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/192f2a6b51-1707501044/2024-02-09-18.50.29.png,""
106,Bewegungsmelder,4,Neben,,,wall,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/b9d8b81765-1707500818/2024-02-09-18.46.48.png,""
107,Feuerlöscher,4,Gegenüber von,,,wall,red,true,true,"TOTAL Feurlöser",false,false,http://parkhaus.digitalisat.com/media/pages/objects/4/fc6d786457-1705873006/2024-01-21-10.36.43.png,""
108,Feuerlöscher,4,Gegenüber von,,,column,red,true,true,"TOTAL Feurlöser",false,false,http://parkhaus.digitalisat.com/media/pages/objects/4/c1e40132c2-1705872877/2024-01-21-10.34.34.png,""
109,Müll,4,Gegenüber von,,,column,white,false,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/4/6a4f245a4c-1706895991/2024-02-02-18.46.26.png,""
110,Mülleimer,4,Gegenüber von,,,column,orange,true,false,"",false,true,http://parkhaus.digitalisat.com/media/pages/objects/4/d6d1729cf3-1705872907/2024-01-21-10.35.04.png,""
111,Steckdose,4,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/e06597085c-1707500919/2024-02-09-18.48.24.png,""
112,Steckdose,4,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/556b127d97-1707500871/2024-02-09-18.47.39.png,""
113,Steckdose,4,Gegenüber von,,,wall,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/4fde5ec9b4-1707500516/2024-02-09-18.41.41.png,""
114,Steckdose,4,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/600157517c-1707500313/2024-02-09-18.38.22.png,""
115,Steckdose,4,Vor,,,ceiling,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/4/f2add7fde1-1707500235/2024-02-09-18.37.04.png,""
116,Steckdose,4,Gegenüber von,,,wall,grey,true,true,"TEP",true,true,http://parkhaus.digitalisat.com/media/pages/objects/4/b66fea4991-1707500107/2024-02-09-18.34.51.png,""
117,Telefon,4,Gegenüber von,,,wall,grey,false,true,"1234567890",true,true,http://parkhaus.digitalisat.com/media/pages/objects/4/b90cbbb3a1-1705872947/2024-01-21-10.35.43.png,""
118,Alarm,5,Gegenüber von,,,wall,red,true,true,"5005/01",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/73950eba71-1706624215/img_1151-3.jpg,""
119,Alarm,5,Gegenüber von,,,wall,red,true,true,"5005/02",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/2aae575d15-1706890945/img_1157.jpg,""
120,Aufzug,5,Gegenüber von,,,wall,silver,true,true,"OTIS",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/7e7ad7eb49-1707499084/2024-02-09-18.17.50.png,""
121,Beleuchtung,5,Gegenüber von,,,ceiling,,false,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/5/eb47e9d8a3-1707499362/2024-02-09-18.22.25.png,""
122,Beleuchtung,5,Vor,,,ceiling,,false,false,"",true,false,,""
123,Beleuchtung,5,Vor,,,ceiling,,false,false,"",true,false,,""
124,Beleuchtung,5,Vor,,,ceiling,,false,false,"",true,false,,""
125,Beleuchtung,5,Vor,,,ceiling,,false,false,"",true,false,,""
126,Beleuchtung,5,Vor,,,ceiling,,false,false,"",true,false,,""
127,Beleuchtung,5,Vor,,,ceiling,,false,false,"",true,false,,""
128,Beleuchtung,5,Vor,,,ceiling,,false,false,"",true,false,,""
129,Beleuchtung,5,Gegenüber von,,,wall,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/7e7ad7eb49-1707499084/2024-02-09-18.17.50.png,""
