ID,Etage,Verortung,Parkplatz,Parkplatz,Position,Reflektiert,Symbole,Typografie,Inhalt,Farbe,Zweck,Richtung,Beleuchtet,Beschädigt,Beidseitig,Für wen,Foto,Notizen
104,3,Gegenüber von,,,column,false,false,true,"AUFFAHRT",black,orientation,top,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/c46d5ba0a2-1706379134/img_1082-3.jpg,""
105,3,Gegenüber von,,,wall,false,false,false,"",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/9f52d27905-1706379172/img_1083-3.jpg,""
106,3,Gegenüber von,,,wall,false,false,false,"",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/a74bfcb154-1706379265/img_1084-3.jpg,""
107,3,Auf,,,wall,false,true,false,"",green,orientation,left,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/cbe34ae625-1706379296/img_1085-3.jpg,""
108,3,Auf,,,wall,false,true,false,"",green,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/1d6dbab0fb-1706379326/img_1086-3.jpg,""
109,3,Gegenüber von,,,wall,true,true,false,"",green,orientation,bottom,true,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/fb9d77e6be-1706379379/img_1087-3.jpg,""
110,3,Gegenüber von,,,door,false,false,true,"Notausgang",green,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/7cdd82619c-1706379418/img_1088-3.jpg,""
111,3,Vor,,,ceiling,true,true,false,"",green,orientation,right,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/99fd2b4740-1706379464/img_1089-3.jpg,""
112,3,Vor,,,ceiling,true,true,false,"",green,orientation,left,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/bf51e4b11d-1706379497/img_1090-3.jpg,""
113,3,Auf,,,wall,false,true,false,"",green,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/899385a19a-1706379541/img_1092-3.jpg,""
114,3,Auf,,,column,false,true,true,"VORSICHT Rutschgefahr",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/79366a9e67-1706379642/img_1094-3.jpg,""
115,3,Gegenüber von,,,wall,false,false,false,"",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/6296b85cc2-1706379760/img_1095-3.jpg,""
116,3,Auf,,,wall,false,true,false,"",green,orientation,left,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/55ffe26c27-1706379805/img_1098-3.jpg,""
117,3,Auf,,,wall,false,true,false,"",green,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/ead917cfb5-1706379870/img_1100-3.jpg,""
118,3,Gegenüber von,,,ceiling,,false,true,"Ausgang",green,orientation,left,true,false,true,"pedestrian",,""
119,4,Gegenüber von,,,column,false,true,false,"",green,orientation,left,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/8426c0e52f-1705870481/2024-01-21-9.54.34.png,""
120,4,Vor,,,ceiling,true,false,true,"Ausgang",green,orientation,left,true,true,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/d7f0c9095d-1705870568/2024-01-21-9.56.03.png,""
121,4,Vor,,,ceiling,true,false,true,"Ausgang",green,orientation,right,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/9586d6c0b8-1705870621/2024-01-21-9.56.56.png,""
122,4,Vor,,,ceiling,true,true,false,"",green,orientation,right,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/0c0576a6ac-1705870678/2024-01-21-9.57.54.png,""
123,4,Vor,,,ceiling,true,true,false,"",green,orientation,left,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/331b445220-1705870717/2024-01-21-9.58.33.png,""
124,4,Auf,,,wall,false,false,false,"",blue,orientation,right,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/b513b40a6b-1705870778/2024-01-21-9.59.34.png,""
125,4,Auf,,,wall,false,true,false,"",green,orientation,left,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/20ae466a20-1705870822/2024-01-21-10.00.18.png,""
126,4,Auf,,,wall,false,false,false,"",blue,orientation,left,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/0f27a4332e-1705870860/2024-01-21-10.00.57.png,""
127,4,Auf,,,wall,false,false,false,"",blue,orientation,right,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/061beac671-1705871187/2024-01-21-10.06.23.png,""
128,4,Auf,,,wall,false,true,false,"",green,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/9e056e1957-1705871220/2024-01-21-10.06.57.png,""
129,4,Auf,,,wall,false,false,false,"",blue,orientation,left,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/6582532ffc-1705871255/2024-01-21-10.07.31.png,""
130,4,Auf,,,wall,false,false,false,"",blue,orientation,right,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/713600c468-1705871290/2024-01-21-10.08.07.png,""
131,4,Auf,,,wall,false,false,false,"",blue,orientation,left,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/b9952bc886-1705871332/2024-01-21-10.08.49.png,""
132,4,Vor,,,ceiling,false,false,false,"",blue,orientation,top,false,true,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/bc99949465-1705871379/2024-01-21-10.09.35.png,""
133,4,Vor,,,ceiling,false,false,false,"",blue,orientation,,false,true,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/f897b5ee7f-1705871420/2024-01-21-10.10.17.png,""
134,4,Vor,,,ceiling,false,false,false,"",red,orientation,,false,true,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/3b7b8b2547-1705872344/2024-01-21-10.25.40.png,""
135,4,Vor,,,ceiling,false,false,false,"",blue,orientation,top,false,true,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/0a7a925455-1705872335/2024-01-21-10.25.31.png,""
136,4,Vor,,,ceiling,true,true,false,"",green,orientation,right,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/8f3e94c9cf-1705872435/2024-01-21-10.27.11.png,""
137,4,Vor,,,ceiling,true,true,false,"",green,orientation,left,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/0cd5508c28-1705872464/2024-01-21-10.27.41.png,""
138,4,Auf,,,wall,false,true,false,"",green,,left,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/0e9eab8021-1705872496/2024-01-21-10.28.12.png,""
139,4,Gegenüber von,,,wall,false,false,true,"Notausgang",green,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/3c63431515-1705872533/2024-01-21-10.28.48.png,""
140,4,Gegenüber von,,,wall,true,true,false,"",green,orientation,bottom,true,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/1885252067-1705872569/2024-01-21-10.29.26.png,""
141,4,Gegenüber von,,,wall,false,false,true,"Auffahrt",black,orientation,top,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/8c46b32da4-1705872621/2024-01-21-10.30.17.png,""
142,4,Gegenüber von,,,wall,false,false,false,"",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/8edbff1186-1705872656/2024-01-21-10.30.53.png,""
143,4,Gegenüber von,,,wall,false,true,false,"",red,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/4/79964b0ff0-1705872722/2024-01-21-10.31.58.png,""
144,4,Gegenüber von,,,column,false,false,true,"Ausfahrt",black,orientation,bottom,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/fda3ec39bf-1705872770/2024-01-21-10.32.45.png,""
145,4,Gegenüber von,,,wall,false,false,false,"",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/4/4d9d0b9fde-1705872805/2024-01-21-10.33.21.png,""
